,Pair 1,,,Pair 2,
,LC,RD,,LC,RD
,2,0,,2,0
,4,0,,4,0
,6,0.08,,6,0.09
,8,0.13,,8,0.16
,10,0.19,,10,0.23
,12,0.23,,12,0.28
,14,0.27,,14,0.33
,16,0.31,,16,0.37
,18,0.34,,18,0.42
,20,0.37,,20,0.46
,22,0.39,,22,0.5
,24,0.43,,24,0.53
,26,0.45,,26,0.55
,28,0.47,,28,0.59
,30,0.5,,30,0.62
,32,0.5,,32,0.64
,34,0.51,,34,0.68
,36,0.53,,36,0.69
,38,0.55,,38,0.73
,40,0.57,,40,0.74
,42,0.58,,42,0.76
,44,0.6,,44,0.78
,46,0.61,,46,0.8
,48,0.63,,48,0.82
,50,0.63,,50,0.84
,52,0.66,,52,0.84
,54,0.67,,54,0.87
,56,0.69,,56,0.89
,58,0.69,,58,0.9
,60,0.71,,60,0.92
,62,0.72,,62,0.92
,64,0.74,,64,0.93
,66,0.74,,66,0.95
,68,0.75,,68,0.98
,70,0.77,,70,1
,72,0.77,,72,1.01
,74,0.78,,74,1.02
,76,0.79,,76,1.02
,78,0.81,,78,1.05
,80,0.81,,80,1.06
,82,0.82,,82,1.06
,84,0.83,,84,1.07
,86,0.83,,86,1.09
,88,0.85,,88,1.1
,90,0.86,,90,1.11
,92,0.87,,92,1.12
,94,0.87,,94,1.12
,96,0.9,,96,1.14
,98,0.9,,98,1.15
,100,0.9,,100,1.16
,102,0.9,,102,1.17
,104,0.92,,104,1.18
,106,0.92,,106,1.22
,108,0.92,,108,1.21
,110,0.94,,110,1.22
,112,0.95,,112,1.23
,114,0.96,,114,1.24
,116,0.96,,116,1.26
,118,0.97,,118,1.27
,120,0.97,,120,1.28
,122,0.98,,122,1.28
,124,1,,124,1.29
,126,0.99,,126,1.29
,128,1,,128,1.31
,130,1,,130,1.31
,132,1.01,,132,1.33
,134,1.02,,134,1.34
,136,1.03,,136,1.35
,138,1.04,,138,1.35
,140,1.04,,140,1.37
,142,1.04,,142,1.37
,144,1.05,,144,1.37
,146,1.05,,146,1.38
,148,1.07,,148,1.38
,150,1.06,,150,1.4
,152,1.09,,152,1.4
,154,1.08,,154,1.41
,156,1.08,,156,1.43
,158,1.08,,158,1.44
,160,1.1,,160,1.45
,162,1.11,,162,1.45
,164,1.11,,164,1.45
,166,1.11,,166,1.46
,168,1.11,,168,1.47
,170,1.13,,170,1.48
,172,1.14,,172,1.48
,174,1.13,,174,1.5
,176,1.15,,176,1.5
,178,1.15,,178,1.51
,180,1.16,,180,1.52
,182,1.15,,182,1.53
,184,1.17,,184,1.52
,186,1.16,,186,1.54
,188,1.18,,188,1.55
,190,1.18,,190,1.55
,192,1.18,,192,1.56
,194,1.18,,194,1.56
,196,1.19,,196,1.57
,198,1.19,,198,1.58
,200,1.21,,200,1.59
,202,1.19,,202,1.6
,204,1.2,,204,1.6
,206,1.22,,206,1.61
,208,1.21,,208,1.62
,210,1.22,,210,1.61
,212,1.22,,212,1.63
,214,1.22,,214,1.64
,216,1.23,,216,1.63
,218,1.25,,218,1.64
,220,1.24,,220,1.65
,222,1.25,,222,1.65
,224,1.27,,224,1.66
,226,1.26,,226,1.67
,228,1.26,,228,1.68
,230,1.26,,230,1.69
,232,1.28,,232,1.68
,234,1.29,,234,1.69
,236,1.29,,236,1.7
,238,1.29,,238,1.7
,240,1.29,,240,1.7
,242,1.3,,242,1.7
,244,1.29,,244,1.71
,246,1.3,,246,1.72
,248,1.31,,248,1.74
,250,1.3,,250,1.73
,252,1.32,,252,1.74
,254,1.32,,254,1.76
,256,1.33,,256,1.75
,258,1.33,,258,1.76
,260,1.33,,260,1.77
,262,1.33,,262,1.78
,264,1.34,,264,1.77
,266,1.34,,266,1.78
,268,1.35,,268,1.78
,270,1.34,,270,1.8
,272,1.35,,272,1.8
,274,1.36,,274,1.8
,276,1.35,,276,1.81
,278,1.36,,278,1.81
,280,1.36,,280,1.82
,282,1.37,,282,1.83
,284,1.38,,284,1.83
,286,1.38,,286,1.85
,288,1.37,,288,1.84
,290,1.39,,290,1.84
,292,1.39,,292,1.84
,294,1.4,,294,1.85
,296,1.39,,296,1.87
,298,1.4,,298,1.87
,300,1.4,,300,1.88
,302,1.41,,302,1.89
,304,1.42,,304,1.88
,306,1.42,,306,1.87
,308,1.42,,308,1.88
,310,1.42,,310,1.88
,312,1.42,,312,1.9
,314,1.43,,314,1.9
,316,1.43,,316,1.91
,318,1.45,,318,1.9
,320,1.44,,320,1.9
,322,1.44,,322,1.92
,324,1.43,,324,1.94
,326,1.45,,326,1.92
,328,1.45,,328,1.93
,330,1.44,,330,1.93
,332,1.46,,332,1.94
,334,1.45,,334,1.94
,336,1.46,,336,1.94
,338,1.46,,338,1.94
,340,1.46,,340,1.96
,342,1.46,,342,1.96
,344,1.47,,344,1.96
,346,1.47,,346,1.96
,348,1.49,,348,1.96
,350,1.49,,350,1.98
,352,1.49,,352,1.98
,354,1.48,,354,1.98
,356,1.48,,356,1.97
,358,1.49,,358,1.98
,360,1.49,,360,1.99
,362,1.5,,362,1.98
,364,1.5,,364,2
,366,1.5,,366,2.01
,368,1.51,,368,2.02
,370,1.51,,370,2
,372,1.51,,372,2.02
,374,1.52,,374,2.01
,376,1.52,,376,2.01
,378,1.52,,378,2.02
,380,1.53,,380,2.02
,382,1.53,,382,2.03
,384,1.53,,384,2.04
,386,1.54,,386,2.04
,388,1.54,,388,2.04
,390,1.54,,390,2.05
,392,1.56,,392,2.05
,394,1.55,,394,2.04
,396,1.55,,396,2.04
,398,1.55,,398,2.05
,400,1.56,,400,2.05
,402,1.55,,402,2.05
,404,1.55,,404,2.05
,406,1.55,,406,2.06
,408,1.55,,408,2.07
,410,1.56,,410,2.06
,412,1.56,,412,2.08
,414,1.55,,414,2.08
,416,1.57,,416,2.07
,418,1.58,,418,2.08
,420,1.57,,420,2.09
,422,1.58,,422,2.08
,424,1.59,,424,2.09
,426,1.58,,426,2.1
,428,1.58,,428,2.1
,430,1.59,,430,2.09
,432,1.6,,432,2.09
,434,1.6,,434,2.1
,436,1.6,,436,2.11
,438,1.61,,438,2.11
,440,1.61,,440,2.12
,442,1.6,,442,2.13
,444,1.6,,444,2.13
,446,1.6,,446,2.12
,448,1.61,,448,2.12
,450,1.61,,450,2.12
,452,1.6,,452,2.13
,454,1.62,,454,2.13
,456,1.61,,456,2.13
,458,1.63,,458,2.13
,460,1.62,,460,2.14
,462,1.6,,462,2.15
,464,1.61,,464,2.15
,466,1.62,,466,2.15
,468,1.61,,468,2.16
,470,1.62,,470,2.16
,472,1.63,,472,2.16
,474,1.63,,474,2.17
,476,1.63,,476,2.18
,478,1.64,,478,2.16
,480,1.64,,480,2.18
,482,1.64,,482,2.18
,484,1.64,,484,2.18
,486,1.64,,486,2.19
,488,1.65,,488,2.19
,490,1.64,,490,2.19
,492,1.65,,492,2.19
,494,1.66,,494,2.19
,496,1.66,,496,2.2
,498,1.67,,498,2.19
,500,1.66,,500,2.21
,502,1.66,,502,2.21
,504,1.66,,504,2.21
,506,1.66,,506,2.21
,508,1.66,,508,2.22
,510,1.66,,510,2.23
,512,1.67,,512,2.23
,514,1.68,,514,2.22
,516,1.68,,516,2.23
,518,1.69,,518,2.23
,520,1.69,,520,2.23
,522,1.69,,522,2.23
,524,1.69,,524,2.23
,526,1.7,,526,2.23
,528,1.7,,528,2.24
,530,1.7,,530,2.25
,532,1.71,,532,2.25
,534,1.7,,534,2.25
,536,1.71,,536,2.26
,538,1.71,,538,2.26
,540,1.72,,540,2.26
,542,1.71,,542,2.27
,544,1.72,,544,2.27
,546,1.72,,546,2.27
,548,1.72,,548,2.26
,550,1.72,,550,2.27
,552,1.73,,552,2.27
,554,1.73,,554,2.27
,556,1.73,,556,2.28
,558,1.72,,558,2.29
,560,1.73,,560,2.29
,562,1.73,,562,2.29
,564,1.73,,564,2.3
,566,1.72,,566,2.3
,568,1.74,,568,2.3
,570,1.74,,570,2.3
,572,1.75,,572,2.31
,574,1.74,,574,2.31
,576,1.74,,576,2.31
,578,1.75,,578,2.32
,580,1.75,,580,2.32
,582,1.74,,582,2.32
,584,1.75,,584,2.32
,586,1.76,,586,2.32
,588,1.75,,588,2.32
,590,1.77,,590,2.32
,592,1.76,,592,2.32
,594,1.76,,594,2.33
,596,1.76,,596,2.33
,598,1.75,,598,2.33
,600,1.76,,600,2.33
,602,1.77,,602,2.34
,604,1.77,,604,2.35
,606,1.78,,606,2.33
,608,1.77,,608,2.36
,610,1.77,,610,2.35
,612,1.77,,612,2.35
,614,1.77,,614,2.33
,616,1.77,,616,2.35
,618,1.77,,618,2.36
,620,1.78,,620,2.36
,622,1.79,,622,2.36
,624,1.78,,624,2.36
,626,1.78,,626,2.37
,628,1.8,,628,2.36
,630,1.78,,630,2.37
,632,1.8,,632,2.36
,634,1.79,,634,2.37
,636,1.81,,636,2.38
,638,1.8,,638,2.39
,640,1.81,,640,2.38
,642,1.81,,642,2.38
,644,1.81,,644,2.38
,646,1.81,,646,2.39
,648,1.81,,648,2.38
,650,1.81,,650,2.38
,652,1.81,,652,2.38
,654,1.81,,654,2.38
,656,1.83,,656,2.39
,658,1.82,,658,2.4
,660,1.82,,660,2.4
,662,1.81,,662,2.4
,664,1.82,,664,2.39
,666,1.83,,666,2.41
,668,1.82,,668,2.4
,670,1.83,,670,2.4
,672,1.82,,672,2.41
,674,1.83,,674,2.41
,676,1.82,,676,2.42
,678,1.82,,678,2.41
,680,1.82,,680,2.41
,682,1.83,,682,2.41
,684,1.82,,684,2.41
,686,1.84,,686,2.42
,688,1.82,,688,2.43
,690,1.83,,690,2.43
,692,1.84,,692,2.43
,694,1.84,,694,2.43
,696,1.84,,696,2.44
,698,1.85,,698,2.43
,700,1.85,,700,2.43
,702,1.84,,702,2.44
,704,1.85,,704,2.45
,706,1.86,,706,2.44
,708,1.86,,708,2.45
,710,1.85,,710,2.45
,712,1.87,,712,2.44
,714,1.85,,714,2.46
,716,1.86,,716,2.45
,718,1.86,,718,2.45
,720,1.87,,720,2.45
,722,1.88,,722,2.45
,724,1.88,,724,2.46
,726,1.87,,726,2.47
,728,1.87,,728,2.46
,730,1.88,,730,2.47
,732,1.88,,732,2.47
,734,1.88,,734,2.46
,736,1.88,,736,2.46
,738,1.89,,738,2.46
,740,1.89,,740,2.47
,742,1.88,,742,2.48
,744,1.88,,744,2.47
,746,1.89,,746,2.48
,748,1.9,,748,2.47
,750,1.89,,750,2.48
,752,1.9,,752,2.49
,754,1.9,,754,2.49
,756,1.9,,756,2.49
,758,1.89,,758,2.49
,760,1.91,,760,2.49
,762,1.89,,762,2.49
,764,1.89,,764,2.49
,766,1.91,,766,2.51
,768,1.9,,768,2.49
,770,1.9,,770,2.5
,772,1.9,,772,2.51
,774,1.9,,774,2.5
,776,1.9,,776,2.5
,778,1.91,,778,2.5
,780,1.9,,780,2.51
